domain	subdomain	ko_KR	en_XX
뉴스	문화,방송_연예	종잡을 수 없는 두 사람의 반전 매력이 ‘아는 와이프’가 선사할 if 로맨스에 대한 호기심을 자극한다.	The uncontrollable and unexpected charm of the two provokes curiosity about the if romance that ”A Wife Who Know” will present.
뉴스	IT_과학,과학	급성백혈병뿐만 아니라 림프종 등 일부 고형암 진단을 받은 소아 환자 중에는 종격동이라고 하는 가슴 부위에 종양이 있는 것을 볼 수 있다.	In pediatric patients diagnosed with some solid cancers, such as lymphoma as well as acute leukemia, a chest tumor called the mediastinum can be seen.
법제도정보	농산물	많은 중요한 작물의 막대한 재배 규모를 감안할 때, 농업 생물 테러의 많은 잠재적 사례는 성공적으로 도입되었다 하더라도 불가피한 상황을 가속화할 수 있다.	Given the enormous scale of cultivation of many important crops, many such potential examples of agricultural bioterrorism, even if they were successfully introduced, might just be accelerating the inevitable.
해외고객과의채팅	도소매유통	이 제품은 몇 년 동안 사용할 수 있기 때문에 고객들이 걱정하지 않아도 될 것입니다.	Your customers won't have to worry because this product will last for years.
해외영업	도소매유통	저희 목표는 그것을 사용하는 사람들에게 영감을 주고 힘을 실어주는기구를 만드는 것입니다.	Our goal is to create gadgets that inspire and empower those who use it.
해외영업	도소매유통	똑같은 주문에서 더 구체적인 수량을 요청 드리고 싶습니다.	I'd like to ask you to repeat the same order list, but with more specific quantities.
일상생활	음식	고소해.	Very buttery.
해외영업	도소매유통	온라인으로 광고한 것은 저에게 도착한 상품과 다릅니다.	What you advertised online is different from the goods that arrived at my doorstep.
it_and_tech	IT/기술	MWC는 연간 10만명 이상의 관람객이 방문하는 ICT분야의 최대 행사로 꼽혀왔다.	The MWC has been considered the biggest event in the ICT sector, with more than 100,000 visitors annually.
액정 표시장치 제조업	청구항	불소 및 카르복실기를 가지는 공중합체(A), 다관능 중합성 화합물(B), 및 광중합 개시제(C)를 포함하는, 경화성 조성물.	A kind of curable adhensive compositions, which is characterized in that include：copolymer (a), multifunctional polymerism with fluorine and carboxyl close object (b) and photoepolymerizationinitiater initiater (c).
ICT	통신	여기서 메시지는 디스플레이 장치(100)가 배치된 환경을 암실 환경으로 해달라는 메시지이다.	Here, the message is a message that the environment in which the display apparatus 100 is disposed should be set as a darkroom environment.
기술과학	빅데이터	관심 있는 볼륨 영역은 분출 영역, 분출 방향 또는 난류를 식별하는 것과 같은 B-모드 정보 없이 흐름 데이터로부터 식별된다.	The volume area of interest is identified from the flow data without B-mode information such as identifying the ejection area, ejection direction or turbulence.
뉴스	사회,노동_복지	노조는 “1월 7일 전에 사측이 잘못된 생각을 바꾸고 교섭에 응한다면 합의를 할 수도 있을 것으로 기대한다”면서 파업 전이라도 협상에 나설 뜻을 시사했다.	Stating that they were willing to negotiate even before the strike, the union said, “We expect that if the management changes the wrong ideas and responds to the negotiations before January 7th, it will be able to reach an agreement.
해외고객과의채팅	도소매유통	기술팀에서 전화드리겠습니다.	Our technical team will call you.
해외영업	도소매유통	같은 공인 판매자가 판매하는 선글라스는 모든 제조업체 보증 및 보증 대상입니다.	Sunglasses sold by the same authorized seller are covered by all manufacturer warranties and warranties.
medical	의료/보건	이 주인이 키우는 또 다른 반려묘는 아무런 증상도 보이지 않았다.	Another cat raised by the owner showed no symptoms.
해외영업	도소매유통	알겠습니다, 제품에 대한 보고서를 제출하겠습니다.	OK, I will file a report regarding the product.
일상생활	구매	알겠습니다, 어떤 증상이 있는지 말씀해 주시겠어요?	Okay, can you tell me what symptoms you have?
해외영업	숙박,음식점	그들은 테이블이나 좌석이 없었습니다.	They had no tables or seats.
교육	에듀테크	청각장애인의 경제적 요인 및 지원에 관한 고용주의 인구 사회학적 및 사업장 특성에 따른 인식 차이를 분석한 결과 업종과 청각장애인 근로자 고용 여부에서 유의미한 차이가 있는 것으로 나타났다.	As a result of analyzing differences in employers' perceptions of economic factors and support for deaf people according to demographic and workplace characteristics, it was found that there was a significant difference in the type of industry and whether or not deaf workers were employed.
글로벌동향정보	건강식품류	16, 24, 28, 33주에 태반에 대한 연구를 위해 각 재태 연령에 하나의 태반 조직을 사용했습니다.	For studies with placentas at 16, 24, 28, and 33 weeks, tissue from one placenta at each gestational age was used.
해외영업	도소매유통	뉴스에 관해서는 사실에 근거한 정확한 정보로 논쟁할 수 없습니다.	Cant argue with factually correct information when it comes to news
뉴스	경제,국제경제	중국 최대 전자상거래업체인 알리바바가 올해 매출전망치를 하향조정 했다.	Alibaba, China's largest e-commerce company, has lowered its sales forecast for this year.
기후	기후	이번 토네이도로 미시시피주에서만 8명이 목숨을 잃었고 앨라배마주와 테네시주에서도 5명이 숨지는 등 인명재산 피해가 눈덩이처럼 불어나고 있다.	Eight people were killed in Mississippi alone, and five more in Alabama and Tennessee.
법제도정보	건강식품류	남아프리카 공화국 가정의 상당 부분이 식량 부족에 시달리고 있다고 자신 있게 말할 수 있다.	We can say with some certainty that a large proportion of South African households are food insecure.
연구평가정보	건강식품류	반응 생성물을 고성능 액체 크로마토그래피에 의한 후속 분석을 위해 에틸 아세테이트(랩-스캔, 아일랜드)로 2회 추출하였다.	The reaction products were extracted twice with ethyl acetate (Lab-Scan, Ireland) for subsequent analysis by high-performance liquid chromatography.
위해식품정보	건강식품류	CTX-M-55와 대조적으로 CTX-M-15는 40°C와 60°C 모두에서 나선 손실을 겪었으며 더 높은 온도에서 나선 손실이 더 많았다.	In contrast with CTX-M-55, CTX-M-15 underwent loss of helicity at both 40°C and 60°C, with more loss of helicity at the higher temperature.
travel	관광	따라서 무엇이든 곁들이 음식을 만들어야 할 텐데, 무엇을 준비하든지 실제로 며칠 동안 추수감사절을 연휴로 즐기는 여건이 아니라면 칠면조와 맞물려 어려움이 기하급수적으로 덩치를 불릴 수 있다.	Therefore, whatever you prepare should be cooked by your side, and unless you're actually in the condition of enjoying Thanksgiving for a few days on holiday, the difficulty can grow exponentially in conjunction with the turkey.
해외고객과의채팅	도소매유통	저는 제 연구를 완료했으며, 제 비즈니스 아이디어 중 일부를 당신과 공유하고 싶습니다.	I've done my research, and I would like to share some of my business ideas with you.
기계	동력기관	도 20을 참조하면, 차량용 사용자 인터페이스 장치(200)는 시동 제어 장치(200e)로 구현될 수 있다.	Referring to FIG. 20, a vehicle user interface apparatus 200 may be implemented as a start-up control apparatus 200e.
